position,TerrainSlope,lon,lat
0,2.551376,-150.241801,-85.770015
0.169815,3.174505,-150.166066,-85.770413
0.33963,3.72409,-150.090318,-85.770806
0.509444,4.077261,-150.014555,-85.771189
0.679259,4.045072,-149.938779,-85.771565
0.849074,3.939524,-149.862991,-85.771936
1.018889,3.978341,-149.787187,-85.772297
1.188704,4.104766,-149.711373,-85.772653
1.358519,4.551745,-149.635546,-85.773
1.528333,5.098789,-149.559705,-85.773339
1.698148,4.650397,-149.483854,-85.773673
1.753208,4.650397,-149.459257,-85.773779
1.923023,4.439649,-149.412717,-85.769353
2.092838,4.643281,-149.366242,-85.764927
2.262653,4.117888,-149.31989,-85.760496
2.432468,2.648086,-149.273624,-85.756063
2.602282,1.845,-149.227455,-85.751627
2.772097,1.97391,-149.181389,-85.747188
2.941912,1.527081,-149.135406,-85.742748
3.111727,0.86167,-149.089525,-85.738304
3.281542,0.696441,-149.043739,-85.733857
3.451357,1.221959,-148.998049,-85.729408
3.621171,1.790243,-148.952453,-85.724955
3.790986,2.190323,-148.906953,-85.720501
3.960801,2.630769,-148.861546,-85.716043
4.130616,3.100647,-148.816234,-85.711583
4.300431,3.942746,-148.771016,-85.70712
4.322104,3.942746,-148.765252,-85.70655
4.491918,1.730507,-148.690441,-85.706593
4.661733,0.721728,-148.615638,-85.706628
4.831548,0.105123,-148.540834,-85.706657
5.001363,0.501784,-148.466029,-85.706677
5.171178,0.538192,-148.391224,-85.706691
5.340993,0.155921,-148.316418,-85.706696
5.510807,1.027653,-148.241612,-85.706694
5.680622,1.186185,-148.166807,-85.706686
5.850437,0.845769,-148.092001,-85.70667
5.86727,0.845769,-148.084586,-85.706669
6.037085,0.375811,-148.011425,-85.70784
6.2069,0.893347,-147.938224,-85.709004
6.376715,0.813579,-147.864983,-85.710162
6.54653,0.349366,-147.791703,-85.711312
6.716344,0.554046,-147.718382,-85.712454
6.886159,1.006909,-147.645024,-85.71359
7.055974,1.337632,-147.571627,-85.71472
7.225789,1.529476,-147.498195,-85.715843
7.262447,1.529476,-147.482335,-85.716083
7.432262,2.394718,-147.503644,-85.710715
7.602077,3.514576,-147.524897,-85.705346
7.771891,4.866239,-147.546098,-85.699976
7.941706,6.362042,-147.567246,-85.694605
8.111521,7.824912,-147.588341,-85.689234
8.221109,8.728399,-147.601927,-85.685767
8.390924,5.317149,-147.676364,-85.685844
8.560739,4.087047,-147.750804,-85.685913
8.730554,3.470665,-147.825247,-85.685975
8.900369,3.022215,-147.899691,-85.686029
9.070184,2.739989,-147.974137,-85.686077
9.239998,2.623923,-148.048584,-85.686116
9.409813,2.953943,-148.123033,-85.686149
9.579628,3.889212,-148.197483,-85.686174
9.749443,5.314969,-148.271933,-85.686191
9.919258,7.107855,-148.346384,-85.686202
10.089072,8.99565,-148.420835,-85.686207
10.210018,10.509285,-148.473861,-85.686205
10.379833,10.379197,-148.53144,-85.689756
10.549648,10.289586,-148.589114,-85.693304
10.719462,9.982921,-148.646883,-85.696848
10.889277,9.60834,-148.704754,-85.700387
11.059092,9.242573,-148.762705,-85.703922
11.228907,9.084177,-148.820759,-85.707453
11.398722,9.154522,-148.878916,-85.710978
11.568537,9.460386,-148.937154,-85.7145
11.576478,9.460386,-148.939887,-85.714664
11.746293,6.784246,-148.980734,-85.719361
11.916108,6.176191,-149.021668,-85.724055
12.085923,5.601746,-149.062682,-85.728748
12.255738,4.873964,-149.103805,-85.733437
12.425552,4.009381,-149.145009,-85.738125
12.595367,3.365767,-149.186303,-85.742811
12.765182,3.449493,-149.227689,-85.747494
12.934997,3.595362,-149.269165,-85.752175
13.104812,2.435843,-149.310733,-85.756854
13.274626,0.975989,-149.352392,-85.761531
13.444441,2.933511,-149.394143,-85.766205
13.614256,4.321635,-149.435977,-85.770878
13.678403,4.321635,-149.451807,-85.772642
13.848218,4.554152,-149.527719,-85.772426
14.018033,4.24769,-149.603622,-85.7722
14.187848,4.070993,-149.679517,-85.771967
14.357662,4.231049,-149.755404,-85.771728
14.527477,4.289404,-149.831282,-85.77148
14.697292,3.977713,-149.907151,-85.771226
14.867107,3.43473,-149.983011,-85.770964
15.036922,3.042184,-150.058862,-85.770695
15.206737,2.725427,-150.134703,-85.770419
15.376551,1.967429,-150.210534,-85.770135
15.44658,1.967429,-150.241802,-85.770016
15.616395,2.116144,-150.262651,-85.76463
15.78621,2.126015,-150.283442,-85.759245
15.956024,2.354315,-150.304172,-85.753859
16.125839,2.019828,-150.324853,-85.748473
16.295654,0.997838,-150.345482,-85.743086
16.465469,1.591466,-150.366059,-85.737698
16.635284,3.730731,-150.386584,-85.73231
16.805099,4.227702,-150.407047,-85.726921
16.974913,3.277905,-150.427469,-85.721532
17.144728,2.53971,-150.447851,-85.716143
17.314543,2.61767,-150.46817,-85.710752
17.484358,3.205038,-150.488439,-85.705362
17.654173,3.699167,-150.508657,-85.69997
17.823988,3.469171,-150.528824,-85.694578
17.993802,3.161262,-150.548931,-85.689186
18.163617,3.197187,-150.568997,-85.683793
18.333432,3.127698,-150.589025,-85.6784
18.503247,3.317678,-150.608992,-85.673006
18.651911,3.780083,-150.626432,-85.668283
18.821725,4.645085,-150.622106,-85.662692
18.99154,5.317513,-150.617803,-85.657102
19.161355,6.298775,-150.61351,-85.651511
19.33117,6.921302,-150.609229,-85.64592
19.500985,6.911751,-150.604958,-85.64033
19.670799,6.510674,-150.600698,-85.634739
19.840614,5.833514,-150.596449,-85.629148
20.010429,4.79,-150.592211,-85.623557
20.180244,3.473774,-150.587984,-85.617966
20.350059,2.180298,-150.583768,-85.612376
20.381635,2.180298,-150.582985,-85.611336
20.55145,2.304845,-150.514425,-85.60938
20.721265,2.078492,-150.445929,-85.607417
20.89108,2.360653,-150.377487,-85.60545
21.060894,3.084242,-150.309111,-85.603475
21.230709,3.864094,-150.240795,-85.601495
21.400524,5.097506,-150.172541,-85.599508
21.570339,6.287031,-150.104349,-85.597514
21.740154,6.732236,-150.036218,-85.595515
21.897497,7.029742,-149.973146,-85.593657
22.067312,6.924546,-149.912309,-85.596744
22.237127,6.345355,-149.851387,-85.599826
22.406942,4.73341,-149.79038,-85.602903
22.576757,3.261684,-149.729288,-85.605976
22.746571,2.407685,-149.668111,-85.609043
22.916386,2.816477,-149.606848,-85.612105
23.086201,3.03455,-149.545494,-85.615161
23.256016,3.804092,-149.484066,-85.618214
23.425831,4.37887,-149.422547,-85.621262
23.595646,3.778332,-149.360943,-85.624304
23.76546,3.589451,-149.299253,-85.627341
23.780474,3.589451,-149.293795,-85.627609
23.950288,4.324096,-149.229464,-85.624909
24.120103,5.065912,-149.165213,-85.622203
24.289918,6.231134,-149.10104,-85.619491
24.459733,7.335636,-149.036948,-85.616774
24.629548,7.940382,-148.972934,-85.614052
24.799362,7.948488,-148.909,-85.611324
24.969177,7.753706,-148.845145,-85.608591
25.138992,7.716325,-148.781369,-85.605852
25.308807,7.651335,-148.717673,-85.603108
25.478622,7.170649,-148.654057,-85.600358
25.648437,6.401968,-148.590519,-85.597603
25.693652,6.401968,-148.573615,-85.596869
25.863467,5.41422,-148.530654,-85.592344
26.033282,5.905935,-148.487781,-85.587817
26.203096,6.259754,-148.444996,-85.583288
26.372911,5.953833,-148.402298,-85.578756
26.542726,5.549861,-148.359688,-85.574222
26.712541,5.301956,-148.317177,-85.569684
26.882356,4.642593,-148.274728,-85.565145
27.052171,4.030228,-148.232379,-85.560604
27.221985,4.07978,-148.190128,-85.556059
27.3918,4.75513,-148.147938,-85.551513
27.561615,5.532834,-148.105847,-85.546964
27.73143,5.940474,-148.063841,-85.542413
27.901245,5.925471,-148.021921,-85.537859
28.07106,5.693485,-147.980087,-85.533303
28.240874,5.386766,-147.938337,-85.528745
28.365246,5.136117,-147.907814,-85.525405
28.535061,5.609148,-147.866875,-85.520806
28.704875,6.060485,-147.826002,-85.516206
28.87469,6.701861,-147.785222,-85.511603
29.044505,7.153652,-147.744534,-85.506997
29.21432,7.446729,-147.703911,-85.50239
29.312662,7.555105,-147.680438,-85.499721
29.482477,7.39749,-147.750077,-85.500948
29.652292,6.948107,-147.819768,-85.502166
29.730028,6.948107,-147.851682,-85.502722
29.899843,6.943098,-147.920315,-85.504274
30.069658,6.83125,-147.988994,-85.50582
30.239473,6.27533,-148.057724,-85.507359
30.409288,5.6244,-148.126495,-85.508893
30.544846,4.981964,-148.181433,-85.510111
30.714661,4.647428,-148.246882,-85.507855
30.884476,4.173034,-148.312275,-85.505593
31.05429,4.149407,-148.377602,-85.503325
31.224105,4.313656,-148.442864,-85.501052
31.39392,4.823177,-148.508062,-85.498773
31.563735,5.171974,-148.573191,-85.496488
31.73355,4.660208,-148.638253,-85.494197
31.903364,3.810793,-148.703253,-85.4919
32.073179,3.437582,-148.768183,-85.489597
32.242994,3.82632,-148.833048,-85.487289
32.412809,4.518899,-148.897849,-85.484976
32.582624,4.990085,-148.962582,-85.482656
32.752439,5.226052,-149.027247,-85.48033
32.922253,5.517174,-149.091847,-85.477999
33.092068,5.957399,-149.156382,-85.475662
33.261883,6.313768,-149.220849,-85.47332
33.431698,6.420273,-149.285249,-85.470972
33.601513,5.799801,-149.349583,-85.468618
33.771328,4.999299,-149.41385,-85.466258
33.941142,4.475392,-149.478048,-85.463892
34.110957,3.962677,-149.542183,-85.461522
34.280772,3.615742,-149.606249,-85.459145
34.450587,3.759249,-149.670246,-85.456762
34.620402,4.171922,-149.734179,-85.454374
34.790217,4.448398,-149.798044,-85.451981
