position,TerrainSlope,lon,lat
0,3.327898,-150.238862, -85.76995
0.005579,3.327137,-150.236379, -85.769967
0.011157,3.328784,-150.233895, -85.769984
0.016736,3.355529,-150.231411, -85.770001
0.022314,3.394496,-150.228928, -85.770018
0.027893,3.430348,-150.226444, -85.770034
0.033471,3.46738,-150.223961, -85.770051
0.03905,3.499438,-150.221477, -85.770068
0.044628,3.532349,-150.218993, -85.770085
0.050207,3.574367,-150.21651, -85.770102
0.055785,3.697316,-150.214026, -85.770119
0.061364,3.94953,-150.211542, -85.770136
0.066942,4.138901,-150.209058, -85.770152
0.072521,4.170958,-150.206575, -85.77017
0.078099,4.164912,-150.204091, -85.770186
0.083678,4.158849,-150.201607, -85.770203
0.089256,4.153285,-150.199123, -85.77022
0.094835,4.147708,-150.196639, -85.770237
0.100413,4.137997,-150.194156, -85.770253
0.105992,4.109459,-150.191672, -85.77027
0.11157,4.042892,-150.189188, -85.770287
0.117149,3.998875,-150.186704, -85.770304
0.122727,3.911419,-150.18422, -85.77032
0.128306,3.549656,-150.181736, -85.770337
0.133884,2.795166,-150.179252, -85.770354
0.139463,2.107655,-150.176768, -85.770371
0.145041,1.923434,-150.174284, -85.770387
0.15062,1.982201,-150.1718, -85.770404
0.153223,1.982201,-150.170641, -85.770412
0.158801,2.013578,-150.168302, -85.770347
0.16438,2.039129,-150.165975, -85.770281
0.169958,2.07112,-150.163637, -85.770216
0.175537,2.109579,-150.161305, -85.770151
0.181115,2.153791,-150.158979, -85.770085
0.186694,2.203735,-150.156647, -85.77002
0.192272,2.180125,-150.154315, -85.769954
0.197851,2.054262,-150.151983, -85.769889
0.203429,1.987038,-150.149652, -85.769824
0.209008,2.013307,-150.14732, -85.769758
0.214586,2.04972,-150.144988, -85.769693
0.214601,2.04972,-150.144982, -85.769693
0.22018,2.077607,-150.142831, -85.7696
0.225758,2.108405,-150.14068, -85.769507
0.231337,2.140656,-150.138529, -85.769414
0.236916,2.173325,-150.136378, -85.769321
0.242494,2.206864,-150.134227, -85.769228
0.248073,2.251429,-150.132077, -85.769134
0.253651,2.850693,-150.129926, -85.769041
0.25923,3.784406,-150.127776, -85.768948
0.264808,4.106176,-150.125625, -85.768855
0.270387,4.09465,-150.123475, -85.768762
0.275965,4.083502,-150.121325, -85.768669
0.281544,4.071906,-150.119175, -85.768576
0.287122,4.060481,-150.117025, -85.768482
0.292701,4.049863,-150.114875, -85.768389
0.298279,4.039477,-150.112731, -85.768295
0.303858,4.029162,-150.110575, -85.768203
0.309436,3.942446,-150.108426, -85.76811
0.315015,3.398587,-150.106276, -85.768017
0.320593,2.823557,-150.104127, -85.767923
0.326172,2.707473,-150.101983, -85.767829
0.33175,2.710422,-150.099828, -85.767737
